client,date,p10,p25,p50,p75,p90,timestamp
mobile,2017_09_15,260.48,681.73,1498.96,2966.09,5499.7,2017-09-15
desktop,2017_09_01,310.07,778.54,1655.23,3215.76,6104.42,2017-09-01
mobile,2017_09_01,260.5,680.37,1491.08,2951.04,5479.5,2017-09-01
desktop,2017_08_15,307.02,776.42,1652.01,3209.21,6061.76,2017-08-15
mobile,2017_08_15,258.89,677.77,1485.33,2940.48,5444.14,2017-08-15
desktop,2017_08_01,299.57,765.86,1639.31,3179.24,5999.59,2017-08-01
mobile,2017_08_01,257.29,670.5,1475.2,2919.51,5420.9,2017-08-01
desktop,2017_07_15,232.78,631.54,1420.78,2904.71,5664.19,2017-07-15
mobile,2017_07_15,195.32,544.96,1269.95,2657.05,5110.52,2017-07-15
desktop,2017_07_01,231.71,626.79,1412.09,2885.14,5602.66,2017-07-01
mobile,2017_07_01,191.23,535.39,1255.59,2631.18,5058.55,2017-07-01
desktop,2017_06_15,223.77,612.48,1392.2,2855.98,5522.75,2017-06-15
mobile,2017_06_15,184.57,526.96,1242.01,2601.42,4983.96,2017-06-15
desktop,2017_06_01,219.84,606.22,1382.17,2832.64,5467.05,2017-06-01
mobile,2017_06_01,181.73,520.09,1229.47,2580.82,4940.38,2017-06-01
desktop,2017_05_15,219.7,606.43,1376.24,2803.62,5426.97,2017-05-15
mobile,2017_05_15,182.41,518.36,1223.7,2564.86,4898.79,2017-05-15
desktop,2017_05_01,209.03,595.49,1354.85,2773.48,5374.52,2017-05-01
mobile,2017_05_01,174.14,506.75,1204.81,2528.6,4869.95,2017-05-01
desktop,2017_04_15,263.63,723.43,1561.97,3032.52,5611.71,2017-04-15
mobile,2017_04_15,224.43,614.01,1387.77,2774.22,5150.24,2017-04-15
desktop,2017_04_01,268.78,725.81,1559.91,3025.59,5587.7,2017-04-01
mobile,2017_04_01,228.29,612.7,1381.18,2760.7,5120.82,2017-04-01
desktop,2017_03_15,267.24,727.45,1559.24,3006.74,5529.08,2017-03-15
mobile,2017_03_15,226.48,609.98,1372.66,2738.08,5059.47,2017-03-15
desktop,2017_03_01,244.93,705.82,1532.34,2971.55,5470.22,2017-03-01
mobile,2017_03_01,213.86,597.21,1354.59,2708.1,5011.39,2017-03-01
desktop,2017_02_15,175.6,653.84,1485.31,2912.32,5386.85,2017-02-15
mobile,2017_02_15,177.42,566.49,1322.39,2673.53,4978.93,2017-02-15
desktop,2017_02_01,173.26,651.64,1479.59,2896.89,5347.14,2017-02-01
mobile,2017_02_01,195.71,581.44,1334.25,2675.46,4969.86,2017-02-01
mobile,2017_01_15,171.71,558.65,1306.67,2638.45,4890.12,2017-01-15
mobile,2017_01_01,179.84,557.82,1301.6,2623.33,4868.64,2017-01-01
desktop,2016_12_15,139.86,636.7,1502.25,2956.46,5429.32,2016-12-15
mobile,2016_12_15,180.15,564.14,1323.26,2667.59,4935.83,2016-12-15
desktop,2016_11_15,171.48,659.13,1509.44,2961.59,5425.97,2016-11-15
mobile,2016_11_15,208.65,590.96,1348.35,2695.27,4961.86,2016-11-15
desktop,2016_11_01,155.49,649.97,1505.8,2975.06,5475.21,2016-11-01
mobile,2016_11_01,203.66,585.54,1344.51,2693.05,4989.74,2016-11-01
desktop,2016_10_15,153.36,652.37,1515.36,3016.89,5624.75,2016-10-15
mobile,2016_10_15,199.54,577.07,1327.18,2656.09,4891.58,2016-10-15
desktop,2016_10_01,166.53,660.72,1524.4,3054.57,5825.67,2016-10-01
mobile,2016_10_01,204.38,580.11,1322.71,2651.01,4890.85,2016-10-01
desktop,2016_09_15,154.84,646.79,1490.76,2957.48,5514.79,2016-09-15
mobile,2016_09_15,182.05,499.2,1220.58,2496.24,4613.29,2016-09-15
desktop,2016_09_01,168.51,657.58,1494.96,2940.89,5426.4,2016-09-01
mobile,2016_09_01,186.05,501.55,1215.27,2482.47,4585.81,2016-09-01
desktop,2016_08_15,179.86,663.09,1493.07,2922.58,5361.77,2016-08-15
mobile,2016_08_15,188.89,504.19,1209.68,2469.55,4563.8,2016-08-15
desktop,2016_08_01,183.53,666.6,1493.38,2914.58,5322.73,2016-08-01
mobile,2016_08_01,188.0,504.54,1209.12,2454.18,4507.31,2016-08-01
desktop,2016_07_15,172.07,664.76,1478.34,2873.32,5272.29,2016-07-15
mobile,2016_07_15,152.32,502.73,1206.95,2444.88,4490.34,2016-07-15
desktop,2016_07_01,173.93,659.01,1467.02,2861.67,5300.6,2016-07-01
mobile,2016_07_01,173.77,528.25,1202.4,2351.79,4274.21,2016-07-01
desktop,2016_06_15,149.76,635.04,1451.09,2869.67,5405.07,2016-06-15
mobile,2016_06_15,218.74,526.07,1144.54,2163.65,3802.62,2016-06-15
desktop,2016_06_01,165.27,650.56,1463.67,2898.17,5529.01,2016-06-01
mobile,2016_06_01,227.88,532.16,1141.39,2238.56,3923.45,2016-06-01
desktop,2016_05_15,165.34,650.93,1469.6,2913.76,5497.28,2016-05-15
mobile,2016_05_15,214.1,520.53,1146.79,2201.64,3765.82,2016-05-15
desktop,2016_05_01,269.33,710.52,1480.13,2796.23,4924.16,2016-05-01
mobile,2016_05_01,189.62,437.77,942.65,1765.69,2900.77,2016-05-01
desktop,2016_04_15,258.6,696.45,1469.33,2771.74,4862.31,2016-04-15
mobile,2016_04_15,180.09,432.47,940.08,1769.71,2912.36,2016-04-15
desktop,2016_04_01,267.11,707.82,1479.03,2782.47,4873.39,2016-04-01
mobile,2016_04_01,191.4,431.12,955.84,1756.45,2826.95,2016-04-01
desktop,2016_03_15,266.98,713.31,1481.34,2776.7,4858.35,2016-03-15
desktop,2016_03_01,270.87,712.54,1477.72,2757.41,4805.59,2016-03-01
mobile,2016_03_01,187.01,434.78,960.32,1735.26,2835.25,2016-03-01
desktop,2016_02_15,271.22,709.32,1465.94,2735.54,4763.59,2016-02-15
mobile,2016_02_15,188.69,428.36,940.87,1718.01,2834.0,2016-02-15
desktop,2016_02_01,269.72,701.19,1453.6,2714.9,4736.36,2016-02-01
mobile,2016_02_01,187.43,431.27,940.53,1723.68,2787.44,2016-02-01
desktop,2016_01_15,267.22,699.06,1441.55,2685.42,4676.32,2016-01-15
mobile,2016_01_15,180.61,421.61,910.21,1684.06,2793.77,2016-01-15
desktop,2016_01_01,267.84,705.62,1448.61,2695.44,4698.45,2016-01-01
mobile,2016_01_01,184.53,438.88,905.3,1688.9,2779.19,2016-01-01
desktop,2015_12_15,267.27,708.3,1466.43,2743.47,4799.4,2015-12-15
mobile,2015_12_15,183.36,419.57,921.39,1706.47,2792.49,2015-12-15
desktop,2015_12_01,261.22,695.65,1440.46,2691.68,4692.62,2015-12-01
mobile,2015_12_01,175.07,406.6,893.44,1671.21,2724.09,2015-12-01
desktop,2015_11_15,262.2,693.45,1432.46,2682.66,4705.06,2015-11-15
mobile,2015_11_15,175.05,403.46,887.42,1672.23,2719.68,2015-11-15
desktop,2015_11_01,263.36,687.96,1416.22,2637.93,4618.9,2015-11-01
mobile,2015_11_01,176.21,393.41,880.14,1641.11,2649.7,2015-11-01
desktop,2015_10_15,262.06,685.94,1410.42,2625.17,4596.44,2015-10-15
mobile,2015_10_15,170.38,392.79,879.15,1627.62,2675.01,2015-10-15
desktop,2015_10_01,213.9,594.75,1273.48,2379.13,4134.09,2015-10-01
mobile,2015_10_01,170.5,389.99,869.57,1640.95,2689.83,2015-10-01
desktop,2015_09_15,258.31,679.18,1399.83,2628.16,4590.85,2015-09-15
mobile,2015_09_15,162.75,384.51,864.83,1615.03,2679.92,2015-09-15
desktop,2015_09_01,254.93,671.56,1393.04,2629.82,4576.67,2015-09-01
mobile,2015_09_01,164.55,394.79,852.81,1596.93,2661.37,2015-09-01
desktop,2015_08_15,259.95,678.08,1398.49,2620.63,4587.73,2015-08-15
mobile,2015_08_15,167.5,382.18,857.69,1592.24,2648.16,2015-08-15
desktop,2015_08_01,256.46,673.25,1389.61,2621.78,4656.91,2015-08-01
mobile,2015_08_01,165.72,377.15,856.79,1590.7,2564.05,2015-08-01
desktop,2015_07_15,252.42,668.51,1386.0,2622.85,4642.71,2015-07-15
mobile,2015_07_15,160.78,375.62,845.03,1586.0,2579.47,2015-07-15
